,Ticker,Price,Chg % 1D,Chg 1D,Technical Rating 1D,Vol 1D,Volume * Price 1D,Market cap,P/E(TTM),EPS(TTM),Employees,Sector
88,IFL,3.67,−0.27%,−0.01AUD,Buy,1.121M,4.114M,1.683BUSD,65.25,0.04USD,—,Finance
89,IFT,8.10,1.76%,0.14AUD,Buy,12.064K,97.718K,3.995BUSD,15.02,0.34USD,6.137K,Utilities
90,IGO,14.62,−0.88%,−0.13AUD,Buy,4.239M,61.978M,7.765BUSD,33.87,0.30USD,—,Non-Energy Minerals
91,ILU,10.43,−0.19%,−0.02AUD,Buy,1.252M,13.054M,3.083BUSD,7.39,0.98USD,3.252K,Non-Energy Minerals
92,IIN,4.66,1.30%,0.06AUD,Strong Buy,599.319K,2.793M,1.304BUSD,17.52,0.18USD,—,Finance
93,IPH,8.56,0.12%,0.01AUD,Sell,308.921K,2.644M,1.335BUSD,35.64,0.17USD,900,Commercial Services
94,IPL,3.80,0.00%,0.00AUD,Buy,4.076M,15.487M,5.132BUSD,7.30,0.33USD,5K,Process Industries
95,IRE,9.70,−0.92%,−0.09AUD,Buy,168.681K,1.636M,1.238BUSD,29.28,0.23USD,2.224K,Technology Services
96,IVC,11.05,−1.25%,−0.14AUD,Sell,220.968K,2.442M,1.112BUSD,82.28,0.09USD,1.9K,Consumer Services
97,JBH,46.51,−1.25%,−0.59AUD,Buy,1.134M,52.752M,3.58BUSD,9.87,3.31USD,—,Retail Trade
98,JDO,1.510,−1.63%,−0.025AUD,Buy,415.803K,627.863K,1.18BUSD,—,−0.00USD,465,Finance
